Age,Gender,Location,Income Level,Financial Literacy,FinTech Product,Usage Frequency,Preferred Service Channel,Adoption Reason,Competitor,Transaction Fees (NGN),Loan Interest Rate (%),Subscription Fee (NGN),Digital Currency Usage,AI Financial Tool Usage,FinTech Satisfaction
53,Female,Kaduna,Middle,Novice,Mobile Banking App,Daily,Agent Banking,Security,Kuda,3.16,15.74,2000,No,No,3
43,Male,Kano,Middle,Novice,Mobile Banking App,Rarely,Mobile App,Low Fees,Paga,1.55,16.65,2000,No,No,3
60,Male,Lagos,Middle,Novice,Blockchain Services,Daily,Web Platform,Low Fees,FairMoney,2.2,6.31,500,No,No,6
44,Female,Enugu,Middle,Novice,Micro-Lending,Daily,Mobile App,Low Fees,Paga,4.88,10.8,1000,No,No,4
22,Male,Kano,High,Intermediate,Investment Platforms,Daily,USSD,Security,Kuda,4.71,16,1000,No,No,8
37,Female,Lagos,Low,Novice,Digital Payments,Weekly,Agent Banking,Security,Paga,4.39,14.32,0,Yes,No,3
28,Male,Ibadan,High,Novice,Micro-Lending,Daily,Agent Banking,Speed,Paga,4.01,12.85,1000,No,No,5
27,Female,Enugu,High,Intermediate,Digital Payments,Weekly,Mobile App,Low Fees,PalmPay,1.2,8.17,500,Yes,No,1
57,Female,Enugu,Middle,Novice,Blockchain Services,Weekly,USSD,Speed,Carbon,2.6,13.16,1000,No,No,1
55,Female,Kano,Middle,Intermediate,Investment Platforms,Daily,Web Platform,Security,Opay,3.78,13.21,500,No,No,8
23,Male,Ibadan,Low,Novice,Blockchain Services,Daily,Agent Banking,Convenience,FairMoney,1.68,10.07,0,No,No,7
25,Male,Kano,Low,Expert,Digital Payments,Monthly,Agent Banking,Low Fees,FairMoney,0.65,19.31,2000,No,No,1
40,Female,Port Harcourt,Low,Novice,Mobile Banking App,Weekly,USSD,Speed,FairMoney,2.38,13.93,1000,No,No,6
64,Female,Lagos,Middle,Expert,Blockchain Services,Weekly,Agent Banking,Low Fees,Carbon,2.41,17.39,500,No,No,2
43,Male,Port Harcourt,Middle,Novice,Investment Platforms,Weekly,USSD,Speed,Paga,0.79,4.76,0,No,No,1
63,Male,Lagos,Low,Intermediate,Blockchain Services,Monthly,USSD,Speed,Kuda,1.94,15.74,500,No,No,5
60,Male,Abuja,Low,Novice,Micro-Lending,Monthly,Web Platform,Convenience,Kuda,4.63,13.03,1000,No,No,5
29,Male,Kaduna,High,Intermediate,Blockchain Services,Monthly,USSD,Security,Opay,1.63,7.89,500,No,No,2
43,Male,Enugu,Low,Novice,Digital Payments,Daily,Mobile App,Low Fees,Opay,3.06,4.89,0,No,No,5
30,Female,Kano,High,Intermediate,Blockchain Services,Daily,Web Platform,Security,Opay,2.7,9.14,0,Yes,No,7
57,Male,Abuja,Low,Intermediate,Investment Platforms,Weekly,USSD,Speed,Kuda,4.38,10.22,2000,No,No,4
35,Female,Abuja,Middle,Intermediate,Blockchain Services,Monthly,USSD,Security,Paga,3.44,4.96,2000,No,No,2
42,Female,Enugu,Low,Intermediate,Blockchain Services,Daily,Web Platform,Convenience,Opay,1.21,14.23,1000,No,No,5
50,Male,Enugu,Middle,Novice,Investment Platforms,Weekly,Agent Banking,Security,Opay,1.14,7.87,0,No,No,6
64,Male,Lagos,Middle,Novice,Blockchain Services,Monthly,Web Platform,Speed,Kuda,3.01,16.61,1000,No,No,8
57,Female,Port Harcourt,Low,Intermediate,Investment Platforms,Weekly,Agent Banking,Speed,FairMoney,0.71,13.85,0,Yes,No,9
60,Male,Ibadan,Middle,Novice,Digital Payments,Daily,Web Platform,Convenience,Paga,2.27,7.93,1000,No,No,8
29,Female,Lagos,Middle,Novice,Investment Platforms,Weekly,Web Platform,Low Fees,Opay,2.3,8.8,0,No,No,7
61,Male,Ibadan,Middle,Novice,Digital Payments,Daily,Mobile App,Convenience,Paga,1.38,18.99,1000,No,No,9
53,Male,Abuja,Middle,Novice,Digital Payments,Daily,Web Platform,Low Fees,PalmPay,1.85,19.09,500,No,No,9
21,Male,Ibadan,Low,Intermediate,Investment Platforms,Daily,Mobile App,Speed,FairMoney,1.98,9.82,2000,Yes,Yes,6
22,Female,Port Harcourt,Middle,Intermediate,Blockchain Services,Monthly,USSD,Security,FairMoney,0.55,14.39,500,No,No,3
54,Male,Lagos,High,Expert,Micro-Lending,Monthly,Agent Banking,Speed,Opay,4.13,19.65,2000,No,No,8
25,Female,Enugu,High,Novice,Investment Platforms,Weekly,Agent Banking,Convenience,Opay,4.81,19.9,1000,No,Yes,3
59,Male,Port Harcourt,High,Expert,Blockchain Services,Weekly,Mobile App,Convenience,Kuda,1.8,3.76,0,No,No,1
45,Female,Kaduna,Low,Intermediate,Digital Payments,Weekly,Agent Banking,Security,FairMoney,1,12.19,0,No,Yes,4
48,Male,Port Harcourt,Middle,Expert,Mobile Banking App,Daily,Agent Banking,Convenience,PalmPay,4.79,15.22,1000,Yes,No,9
26,Female,Kaduna,Middle,Expert,Micro-Lending,Daily,Web Platform,Speed,PalmPay,3.83,5.77,0,Yes,No,8
46,Female,Lagos,Low,Intermediate,Blockchain Services,Weekly,Mobile App,Security,PalmPay,4.51,16.88,1000,No,No,6
31,Female,Enugu,High,Novice,Micro-Lending,Monthly,Agent Banking,Low Fees,Carbon,2.12,10.7,500,No,No,3
57,Female,Port Harcourt,Middle,Novice,Mobile Banking App,Rarely,USSD,Convenience,Kuda,2.68,11.21,1000,No,Yes,3
58,Female,Kaduna,Low,Novice,Mobile Banking App,Weekly,Mobile App,Low Fees,Kuda,4.69,7.3,0,Yes,No,7
39,Female,Enugu,Low,Expert,Mobile Banking App,Weekly,Web Platform,Security,Opay,2.57,7.75,0,No,No,5
28,Male,Kano,High,Expert,Investment Platforms,Weekly,USSD,Convenience,Kuda,3.52,3.97,1000,No,No,3
40,Female,Kano,Low,Intermediate,Micro-Lending,Weekly,Agent Banking,Security,Opay,3.67,18.8,1000,No,Yes,1
18,Female,Kano,Low,Expert,Investment Platforms,Weekly,Agent Banking,Convenience,Opay,4.27,9.18,1000,No,No,9
63,Female,Ibadan,Middle,Expert,Mobile Banking App,Monthly,Mobile App,Convenience,Carbon,4.89,5.34,1000,No,No,5
54,Male,Port Harcourt,Low,Intermediate,Blockchain Services,Monthly,Agent Banking,Convenience,Kuda,2.01,4.99,2000,No,Yes,7
38,Male,Lagos,High,Intermediate,Mobile Banking App,Weekly,Mobile App,Security,Kuda,1.61,9.63,2000,No,No,9
43,Male,Lagos,Middle,Novice,Investment Platforms,Weekly,Agent Banking,Security,Carbon,0.85,13.56,500,No,No,4
63,Female,Ibadan,Middle,Novice,Mobile Banking App,Rarely,USSD,Speed,Carbon,4.35,16.11,2000,No,No,5
53,Male,Lagos,High,Novice,Mobile Banking App,Monthly,Web Platform,Speed,Kuda,1.82,18.68,0,No,No,3
40,Male,Kaduna,Middle,Novice,Investment Platforms,Weekly,USSD,Security,Kuda,0.72,13.62,2000,No,No,7
18,Female,Kano,Low,Intermediate,Investment Platforms,Weekly,Web Platform,Security,Opay,4.39,9.86,2000,No,Yes,1
57,Female,Port Harcourt,Middle,Novice,Blockchain Services,Monthly,Mobile App,Convenience,Paga,2.79,9.88,0,No,No,8
32,Male,Lagos,Middle,Expert,Investment Platforms,Weekly,Agent Banking,Speed,FairMoney,4.27,12.55,2000,No,No,3
38,Female,Lagos,Low,Novice,Blockchain Services,Weekly,USSD,Speed,Opay,3,11.92,1000,No,No,4
64,Female,Abuja,Middle,Novice,Digital Payments,Daily,Agent Banking,Security,PalmPay,1.91,13.71,2000,No,Yes,4
26,Female,Abuja,High,Expert,Digital Payments,Monthly,Mobile App,Speed,PalmPay,1.08,11.31,2000,Yes,No,7
26,Female,Abuja,Middle,Intermediate,Investment Platforms,Weekly,Web Platform,Security,Paga,2.47,3.53,2000,No,No,7
27,Male,Port Harcourt,High,Novice,Mobile Banking App,Weekly,USSD,Speed,FairMoney,0.62,11.26,1000,No,No,4
43,Female,Kano,Middle,Intermediate,Micro-Lending,Monthly,Web Platform,Low Fees,Carbon,3.21,2.89,1000,No,No,6
58,Male,Enugu,Middle,Novice,Mobile Banking App,Rarely,Web Platform,Low Fees,PalmPay,2.42,5.66,500,No,No,8
52,Male,Kano,High,Expert,Investment Platforms,Monthly,Mobile App,Speed,Carbon,1.14,9.28,500,Yes,No,4
42,Male,Kano,Low,Intermediate,Blockchain Services,Daily,Web Platform,Security,Carbon,2.89,12.15,1000,Yes,Yes,1
43,Male,Port Harcourt,Low,Novice,Mobile Banking App,Weekly,Mobile App,Low Fees,Opay,4.1,5.73,0,No,No,7
28,Female,Kaduna,Middle,Intermediate,Digital Payments,Weekly,Web Platform,Convenience,Carbon,4.89,7.34,500,No,No,2
55,Female,Kaduna,Middle,Expert,Investment Platforms,Daily,Web Platform,Security,Paga,2.87,9.05,2000,No,No,3
19,Female,Port Harcourt,Low,Intermediate,Mobile Banking App,Rarely,USSD,Low Fees,Opay,1.08,5.95,2000,No,No,8
24,Male,Abuja,Low,Expert,Mobile Banking App,Monthly,Mobile App,Convenience,Paga,4.15,19.98,2000,No,No,2
35,Male,Lagos,Low,Novice,Blockchain Services,Weekly,Agent Banking,Low Fees,Carbon,3.63,16.58,0,No,No,2
44,Male,Ibadan,Middle,Expert,Blockchain Services,Daily,Agent Banking,Low Fees,PalmPay,4.79,16.69,500,Yes,No,4
51,Female,Ibadan,High,Intermediate,Blockchain Services,Daily,Agent Banking,Convenience,FairMoney,2.91,12.46,1000,No,No,6
44,Male,Enugu,High,Intermediate,Micro-Lending,Weekly,USSD,Convenience,Carbon,2.11,19.32,1000,Yes,No,2
34,Female,Lagos,Middle,Novice,Investment Platforms,Daily,USSD,Speed,Paga,4.83,15.31,0,No,No,9
60,Female,Enugu,High,Expert,Investment Platforms,Weekly,Web Platform,Low Fees,Kuda,2.92,8.29,1000,No,No,2
61,Female,Abuja,Middle,Intermediate,Digital Payments,Weekly,Web Platform,Convenience,Kuda,0.57,13.18,0,Yes,No,9
41,Female,Enugu,Low,Expert,Digital Payments,Monthly,Agent Banking,Speed,PalmPay,2.63,12.01,1000,Yes,No,7
42,Male,Lagos,Low,Novice,Investment Platforms,Daily,Web Platform,Convenience,FairMoney,0.51,12.66,1000,No,No,3
24,Female,Lagos,Middle,Novice,Mobile Banking App,Weekly,Web Platform,Speed,Paga,3.82,16.81,0,Yes,No,9
23,Male,Ibadan,Low,Novice,Investment Platforms,Monthly,USSD,Speed,PalmPay,3.05,11.42,1000,No,No,9
41,Female,Kaduna,Middle,Novice,Micro-Lending,Weekly,Agent Banking,Convenience,Opay,0.99,15.25,500,Yes,No,6
50,Male,Abuja,Middle,Intermediate,Digital Payments,Daily,Mobile App,Convenience,Carbon,4.16,6.89,1000,No,No,2
46,Male,Port Harcourt,Middle,Intermediate,Digital Payments,Daily,Agent Banking,Low Fees,Opay,2.91,18.81,2000,No,No,7
60,Female,Enugu,High,Intermediate,Digital Payments,Monthly,USSD,Low Fees,Kuda,1.01,4.01,0,No,No,4
39,Female,Ibadan,Middle,Expert,Investment Platforms,Monthly,Agent Banking,Speed,Carbon,1.22,19.89,1000,No,No,4
43,Female,Enugu,Low,Novice,Digital Payments,Monthly,Mobile App,Convenience,Opay,4.2,13.57,500,No,No,7
45,Male,Enugu,Middle,Novice,Digital Payments,Daily,Web Platform,Low Fees,Kuda,2.1,10.72,1000,No,No,5
38,Female,Port Harcourt,Middle,Expert,Investment Platforms,Monthly,Agent Banking,Speed,FairMoney,4.19,7.94,1000,No,Yes,1
24,Female,Abuja,Low,Intermediate,Mobile Banking App,Weekly,USSD,Low Fees,Opay,0.81,9.59,2000,Yes,No,3
34,Male,Lagos,Low,Intermediate,Digital Payments,Daily,USSD,Speed,Carbon,1.6,16.19,500,No,No,7
37,Female,Kano,Middle,Novice,Digital Payments,Rarely,Agent Banking,Low Fees,Opay,3.94,4.94,1000,No,No,9
58,Male,Enugu,High,Intermediate,Digital Payments,Weekly,Web Platform,Convenience,Carbon,3.39,6.92,1000,No,Yes,9
37,Female,Kano,Middle,Novice,Micro-Lending,Rarely,Web Platform,Security,Opay,1.88,4.67,2000,No,No,7
39,Male,Abuja,High,Intermediate,Investment Platforms,Monthly,USSD,Security,PalmPay,4.71,9.97,0,No,No,5
45,Male,Kano,High,Expert,Digital Payments,Weekly,USSD,Speed,FairMoney,1.45,9.28,0,No,No,4
57,Female,Enugu,Low,Intermediate,Micro-Lending,Weekly,Mobile App,Security,Opay,4.32,13.85,0,No,No,9
24,Male,Port Harcourt,Middle,Novice,Mobile Banking App,Weekly,Web Platform,Security,Opay,3.63,19.93,2000,No,Yes,6
18,Female,Kano,Middle,Intermediate,Mobile Banking App,Monthly,Agent Banking,Speed,PalmPay,1.05,18.12,0,No,No,2
49,Female,Abuja,Low,Novice,Micro-Lending,Weekly,USSD,Security,Kuda,3,17.91,500,No,Yes,3
30,Male,Abuja,Middle,Novice,Mobile Banking App,Monthly,USSD,Low Fees,Carbon,4.68,13.8,0,No,No,7
47,Female,Kaduna,Middle,Expert,Blockchain Services,Daily,USSD,Low Fees,Paga,3.29,7.24,0,No,No,4
40,Male,Kaduna,Low,Novice,Mobile Banking App,Weekly,USSD,Low Fees,Kuda,2.88,9.22,1000,No,No,7
36,Male,Port Harcourt,High,Expert,Blockchain Services,Weekly,Web Platform,Convenience,Carbon,2.15,6.88,500,No,No,5
49,Male,Kano,Middle,Novice,Micro-Lending,Daily,USSD,Low Fees,Opay,4.05,4.86,2000,No,Yes,1
47,Male,Kano,High,Intermediate,Blockchain Services,Monthly,Web Platform,Security,Kuda,4.61,10.13,500,No,No,3
46,Male,Kaduna,Low,Intermediate,Mobile Banking App,Daily,Mobile App,Security,Opay,3.89,18.21,0,No,Yes,9
62,Male,Lagos,High,Novice,Digital Payments,Daily,Mobile App,Low Fees,Kuda,3.76,15.52,1000,No,No,4
46,Male,Ibadan,Low,Intermediate,Blockchain Services,Daily,Agent Banking,Convenience,Kuda,1.37,19.73,2000,No,No,5
47,Male,Abuja,Low,Expert,Mobile Banking App,Weekly,USSD,Low Fees,Paga,4.25,5.91,500,No,Yes,2
33,Female,Lagos,Middle,Intermediate,Digital Payments,Weekly,Agent Banking,Convenience,PalmPay,0.68,11.26,500,No,No,8
57,Female,Abuja,Middle,Intermediate,Micro-Lending,Monthly,Web Platform,Convenience,Kuda,3.91,16.38,0,No,No,1
36,Male,Lagos,Middle,Expert,Micro-Lending,Weekly,Agent Banking,Low Fees,Opay,1.45,10.56,0,No,Yes,4
35,Female,Kaduna,Middle,Novice,Investment Platforms,Weekly,Agent Banking,Convenience,Paga,2.69,8.71,2000,No,No,6
18,Female,Kaduna,Low,Novice,Micro-Lending,Weekly,USSD,Security,Kuda,3.63,16.78,0,No,No,8
31,Female,Ibadan,Middle,Novice,Investment Platforms,Daily,Web Platform,Low Fees,PalmPay,3.92,10.03,1000,Yes,No,4
64,Female,Lagos,Middle,Intermediate,Micro-Lending,Weekly,Web Platform,Security,Opay,4.5,18.48,2000,No,No,2
19,Female,Abuja,Middle,Expert,Micro-Lending,Weekly,USSD,Convenience,Paga,1.77,7.2,0,No,No,4
45,Female,Kano,Middle,Intermediate,Micro-Lending,Daily,Web Platform,Speed,Carbon,1.51,18.19,2000,No,No,1
47,Male,Abuja,High,Expert,Investment Platforms,Daily,Mobile App,Low Fees,FairMoney,4.98,7.37,500,No,Yes,8
55,Female,Enugu,Middle,Intermediate,Investment Platforms,Weekly,USSD,Speed,PalmPay,1.43,7.57,2000,No,No,9
21,Female,Kaduna,Middle,Novice,Blockchain Services,Monthly,USSD,Speed,Carbon,3.49,9.86,500,No,No,3
18,Female,Port Harcourt,High,Novice,Mobile Banking App,Daily,USSD,Speed,Carbon,4.79,11.53,2000,No,No,8
25,Female,Port Harcourt,Middle,Expert,Mobile Banking App,Daily,Mobile App,Speed,Paga,4.53,9.82,0,Yes,No,9
46,Male,Kaduna,Low,Novice,Mobile Banking App,Daily,Web Platform,Security,Paga,2.49,17.59,500,No,No,8
56,Male,Enugu,Low,Intermediate,Micro-Lending,Rarely,Mobile App,Low Fees,Paga,3.37,16.42,2000,No,No,2
20,Male,Port Harcourt,Middle,Novice,Mobile Banking App,Monthly,Mobile App,Security,Carbon,2.88,7.92,1000,No,No,2
49,Male,Kaduna,Low,Novice,Investment Platforms,Daily,Mobile App,Convenience,FairMoney,2.06,11.45,0,No,No,4
27,Female,Port Harcourt,Middle,Intermediate,Blockchain Services,Daily,Agent Banking,Low Fees,Opay,1.15,10.04,2000,No,No,1
27,Male,Kaduna,Low,Novice,Digital Payments,Monthly,Web Platform,Low Fees,Paga,4.12,3.48,2000,No,Yes,3
36,Male,Ibadan,Low,Expert,Blockchain Services,Daily,Web Platform,Security,PalmPay,0.91,15.59,500,No,No,4
63,Male,Kano,Middle,Novice,Mobile Banking App,Rarely,USSD,Convenience,Paga,3.24,5.68,500,No,No,2
51,Male,Kano,High,Intermediate,Mobile Banking App,Daily,USSD,Speed,FairMoney,3.17,18.85,0,No,Yes,7
50,Female,Abuja,Middle,Intermediate,Investment Platforms,Daily,Agent Banking,Convenience,Paga,2.01,9.46,500,No,No,3
40,Male,Enugu,High,Intermediate,Blockchain Services,Weekly,Mobile App,Security,FairMoney,1.11,13.39,2000,No,No,7
45,Female,Kaduna,High,Expert,Investment Platforms,Weekly,USSD,Security,Paga,4.1,16.82,2000,No,Yes,7
49,Male,Lagos,Low,Novice,Investment Platforms,Rarely,Web Platform,Security,Carbon,2.58,5.66,500,No,No,9
24,Female,Abuja,Low,Novice,Digital Payments,Monthly,USSD,Speed,FairMoney,3.76,11.97,0,No,No,4
46,Female,Abuja,Middle,Novice,Investment Platforms,Weekly,Mobile App,Low Fees,Opay,0.57,6.65,1000,No,No,4
25,Male,Kaduna,High,Expert,Investment Platforms,Weekly,Agent Banking,Convenience,Paga,0.84,11.42,2000,No,Yes,1
18,Male,Kaduna,Middle,Expert,Digital Payments,Monthly,Mobile App,Convenience,Carbon,1.29,12.64,2000,No,No,6
20,Male,Abuja,High,Novice,Micro-Lending,Weekly,USSD,Speed,PalmPay,1.01,5.46,500,No,No,6
41,Male,Abuja,Low,Intermediate,Micro-Lending,Daily,Agent Banking,Security,Opay,1.36,12.66,1000,No,No,7
40,Female,Kano,Low,Novice,Digital Payments,Daily,Agent Banking,Convenience,Carbon,3.59,10.46,2000,No,No,9
25,Female,Lagos,Middle,Novice,Investment Platforms,Daily,Mobile App,Low Fees,FairMoney,0.71,11.63,1000,Yes,No,9
64,Male,Abuja,Middle,Intermediate,Mobile Banking App,Monthly,USSD,Convenience,Kuda,0.67,18.34,1000,No,No,5
54,Male,Kano,Low,Novice,Blockchain Services,Weekly,Mobile App,Security,PalmPay,0.64,10.97,2000,No,No,2
20,Female,Abuja,Low,Novice,Mobile Banking App,Daily,USSD,Convenience,PalmPay,3.64,10.83,1000,No,Yes,1
50,Male,Port Harcourt,Low,Intermediate,Mobile Banking App,Monthly,USSD,Security,Kuda,2.91,10.73,1000,No,No,2
45,Female,Abuja,Middle,Intermediate,Investment Platforms,Daily,Web Platform,Low Fees,Carbon,2.17,13.4,500,No,No,2
64,Male,Kaduna,High,Novice,Blockchain Services,Weekly,Agent Banking,Speed,Carbon,3.54,8.93,500,No,No,1
25,Female,Enugu,High,Intermediate,Blockchain Services,Monthly,USSD,Security,FairMoney,2.99,16.52,1000,No,No,8
51,Female,Enugu,Middle,Intermediate,Micro-Lending,Weekly,Mobile App,Security,PalmPay,0.53,7.51,0,No,No,3
52,Female,Abuja,Middle,Novice,Digital Payments,Daily,Mobile App,Convenience,Carbon,4.27,7.74,1000,No,No,8
49,Female,Ibadan,Middle,Intermediate,Investment Platforms,Weekly,Web Platform,Speed,Kuda,2.08,12.8,2000,No,No,6
41,Female,Port Harcourt,Low,Novice,Blockchain Services,Monthly,Web Platform,Security,Carbon,2.3,7.05,0,No,No,1
31,Male,Lagos,Low,Novice,Investment Platforms,Weekly,Web Platform,Convenience,PalmPay,4.02,4.07,500,Yes,No,7
49,Female,Abuja,Low,Novice,Micro-Lending,Daily,Agent Banking,Low Fees,Carbon,1.34,6.1,0,No,No,3
63,Male,Lagos,High,Expert,Mobile Banking App,Daily,Web Platform,Speed,Opay,0.55,18.49,500,No,No,9
60,Female,Port Harcourt,High,Novice,Blockchain Services,Monthly,Agent Banking,Convenience,Kuda,4.59,2.69,0,No,No,9
33,Female,Abuja,Middle,Novice,Micro-Lending,Weekly,Web Platform,Speed,Kuda,2.77,4.84,1000,No,No,4
21,Male,Ibadan,Middle,Novice,Investment Platforms,Monthly,Agent Banking,Security,Paga,2.07,15.77,500,Yes,No,2
54,Male,Kano,Low,Novice,Micro-Lending,Weekly,USSD,Convenience,Carbon,4.19,19.65,2000,No,No,9
38,Male,Ibadan,Middle,Intermediate,Micro-Lending,Weekly,Web Platform,Low Fees,FairMoney,0.62,14.54,0,Yes,No,5
31,Male,Kaduna,Middle,Novice,Micro-Lending,Rarely,Agent Banking,Low Fees,Kuda,1.41,18.64,1000,No,No,8
48,Female,Ibadan,Middle,Expert,Micro-Lending,Daily,USSD,Convenience,Carbon,1.2,17.47,0,Yes,No,9
35,Male,Kano,Low,Intermediate,Micro-Lending,Daily,Web Platform,Convenience,Opay,3.82,10.9,0,No,No,1
24,Female,Kaduna,High,Intermediate,Micro-Lending,Weekly,USSD,Speed,PalmPay,1.9,8.34,2000,Yes,No,3
27,Male,Kano,Middle,Novice,Digital Payments,Daily,Web Platform,Convenience,PalmPay,3.98,13.56,0,No,No,7
24,Male,Enugu,High,Novice,Investment Platforms,Weekly,Mobile App,Speed,Paga,0.69,11.84,2000,No,No,2
50,Female,Kano,High,Novice,Mobile Banking App,Rarely,Agent Banking,Security,Paga,3.24,2.95,500,No,No,4
40,Female,Abuja,High,Intermediate,Investment Platforms,Monthly,Mobile App,Convenience,FairMoney,1.93,19.25,2000,No,No,4
38,Male,Lagos,Low,Novice,Blockchain Services,Weekly,Agent Banking,Security,Kuda,1.34,12.48,2000,Yes,No,7
36,Female,Enugu,Low,Intermediate,Blockchain Services,Monthly,Mobile App,Low Fees,FairMoney,4.18,17.8,500,No,No,2
36,Female,Enugu,Low,Novice,Investment Platforms,Daily,Web Platform,Speed,Kuda,2.36,15.36,2000,No,No,8
53,Female,Lagos,Low,Novice,Micro-Lending,Weekly,Mobile App,Speed,Kuda,3.07,8.46,1000,No,Yes,8
46,Female,Enugu,Middle,Novice,Digital Payments,Weekly,Web Platform,Low Fees,Opay,0.65,18.27,0,No,No,6
35,Female,Kano,Middle,Novice,Mobile Banking App,Weekly,Agent Banking,Security,Paga,4.06,16.33,2000,No,Yes,4
19,Female,Ibadan,Middle,Expert,Micro-Lending,Daily,Web Platform,Speed,Paga,1.79,10.02,0,No,No,2
18,Female,Port Harcourt,Low,Novice,Investment Platforms,Monthly,Mobile App,Low Fees,PalmPay,3.62,17.21,2000,No,No,3
64,Female,Kano,High,Expert,Investment Platforms,Monthly,USSD,Low Fees,Paga,3.92,7.25,500,Yes,No,3
22,Male,Kaduna,Low,Intermediate,Digital Payments,Weekly,Agent Banking,Low Fees,Paga,1.03,14.24,500,No,No,3
37,Female,Kaduna,Low,Expert,Digital Payments,Daily,USSD,Convenience,Opay,1.83,4.51,0,No,No,4
28,Male,Ibadan,Middle,Novice,Investment Platforms,Weekly,USSD,Security,FairMoney,3.76,17.65,0,No,No,7
59,Female,Ibadan,Middle,Expert,Micro-Lending,Rarely,USSD,Low Fees,Kuda,1.54,15.27,0,No,No,9
19,Female,Enugu,Middle,Novice,Micro-Lending,Weekly,USSD,Security,FairMoney,4.32,5.17,500,No,No,4
20,Female,Abuja,Low,Intermediate,Micro-Lending,Weekly,USSD,Speed,Opay,1.9,2.87,0,Yes,No,7
40,Female,Abuja,Middle,Novice,Mobile Banking App,Rarely,Mobile App,Convenience,Carbon,2.31,9.32,2000,Yes,No,6
29,Male,Enugu,Low,Novice,Mobile Banking App,Weekly,Web Platform,Low Fees,PalmPay,0.95,14.32,2000,No,No,9
37,Male,Enugu,Low,Intermediate,Micro-Lending,Weekly,Web Platform,Low Fees,PalmPay,1.16,7.46,0,No,No,8
22,Female,Lagos,Middle,Intermediate,Investment Platforms,Weekly,USSD,Low Fees,PalmPay,1.74,19.53,500,No,No,2
54,Male,Lagos,Low,Novice,Digital Payments,Weekly,Mobile App,Speed,FairMoney,0.72,18.86,2000,No,No,3
55,Female,Port Harcourt,Low,Novice,Blockchain Services,Weekly,USSD,Convenience,Kuda,1.37,12.96,500,No,No,6
47,Female,Port Harcourt,Middle,Intermediate,Digital Payments,Weekly,USSD,Security,Kuda,2.34,8.02,500,Yes,No,5
26,Male,Port Harcourt,High,Novice,Digital Payments,Weekly,Agent Banking,Security,Kuda,2.21,18.18,500,No,No,2
51,Male,Port Harcourt,High,Novice,Blockchain Services,Daily,Mobile App,Security,PalmPay,1.39,16.56,0,Yes,No,2
61,Female,Ibadan,Middle,Expert,Micro-Lending,Daily,USSD,Security,PalmPay,0.86,4.01,500,No,No,5
52,Female,Ibadan,Low,Expert,Digital Payments,Weekly,Web Platform,Security,FairMoney,1.93,10.84,500,Yes,No,5
39,Male,Lagos,Low,Expert,Blockchain Services,Daily,Agent Banking,Security,FairMoney,3.85,19.67,0,No,No,1
61,Female,Abuja,Low,Expert,Investment Platforms,Monthly,USSD,Security,PalmPay,2.8,10.44,1000,Yes,No,3
41,Male,Enugu,Middle,Novice,Investment Platforms,Weekly,USSD,Convenience,Carbon,4.76,18.83,2000,No,No,9
34,Female,Kaduna,Middle,Expert,Investment Platforms,Weekly,USSD,Convenience,Carbon,1.13,19.6,0,No,No,3
27,Female,Abuja,Middle,Novice,Micro-Lending,Daily,Mobile App,Speed,FairMoney,1.43,9.28,2000,No,No,6
47,Male,Kano,Middle,Novice,Digital Payments,Daily,USSD,Low Fees,PalmPay,1.76,19.38,0,No,Yes,6
63,Male,Ibadan,Low,Expert,Digital Payments,Weekly,Web Platform,Convenience,Kuda,0.56,4.91,0,No,No,2
40,Male,Port Harcourt,Middle,Novice,Mobile Banking App,Rarely,Agent Banking,Low Fees,Kuda,4.75,5.3,0,Yes,Yes,7
49,Female,Port Harcourt,Low,Intermediate,Investment Platforms,Weekly,Mobile App,Speed,Carbon,2.5,7.34,2000,No,No,9
34,Female,Kano,Middle,Novice,Micro-Lending,Monthly,Agent Banking,Convenience,Carbon,2.67,10.68,0,No,No,9
34,Female,Abuja,Middle,Novice,Blockchain Services,Daily,Web Platform,Speed,PalmPay,1.21,5.67,0,Yes,No,8
31,Female,Port Harcourt,Middle,Intermediate,Micro-Lending,Daily,USSD,Convenience,PalmPay,4.43,8.45,0,No,Yes,5
26,Male,Abuja,Middle,Novice,Digital Payments,Monthly,Mobile App,Convenience,Kuda,3.62,4.31,2000,No,No,8
57,Female,Enugu,Middle,Novice,Investment Platforms,Weekly,USSD,Security,FairMoney,2.44,10.03,1000,No,No,9
19,Female,Kano,Low,Novice,Mobile Banking App,Weekly,Mobile App,Low Fees,Paga,4.45,16.98,0,No,No,1
62,Female,Kaduna,Low,Novice,Micro-Lending,Daily,USSD,Speed,FairMoney,4.57,12.91,0,No,No,1
42,Male,Abuja,Middle,Novice,Mobile Banking App,Daily,Web Platform,Security,Kuda,0.72,16.68,0,Yes,No,5
56,Female,Enugu,Low,Expert,Digital Payments,Weekly,Web Platform,Convenience,FairMoney,1.04,4.87,0,No,No,7
26,Female,Abuja,Middle,Novice,Blockchain Services,Monthly,USSD,Convenience,Kuda,0.62,9.49,0,Yes,No,9
39,Male,Abuja,Middle,Expert,Micro-Lending,Daily,Web Platform,Speed,PalmPay,3.12,3.19,1000,No,No,9
60,Female,Port Harcourt,High,Novice,Digital Payments,Rarely,USSD,Low Fees,Paga,1.48,8.97,500,No,No,3
